Code	Name	Currency	Market cap (m)	Price	Change	Change %
JEO	EUROPEAN OPPORTUNITIES TRUST PLC ORD 1P	GBX	804.53	738.00	-3.00	-0.41%
BGSC	BMO GLOBAL SMALLER COMPANIES PLC ORD 2.5P	GBX	861.11	147.60	-0.60	-0.41%
JESC	JPMORGAN EURO SMALL CO. TRUST PLC ORD 5P	GBX	781.37	488.00	-2.00	-0.41%
PCT	POLAR CAPITAL TECHNOLOGY TRUST PLC ORD 25P	GBX	3,316.16	2,405.00	-10.00	-0.41%
CTY	CITY OF LONDON INVESTMENT TRUST PLC ORD 25P	GBX	1,521.88	356.00	-1.50	-0.42%
SAIN	SCOTTISH AMERICAN INV CO PLC ORD 25P	GBX	775.56	471.00	-2.00	-0.42%
ANTO	ANTOFAGASTA PLC ORD 5P	GBX	15,103.32	1,525.50	-6.50	-0.42%
AUTO	AUTO TRADER GROUP PLC ORD 1P	GBX	5,563.16	573.20	-2.60	-0.45%
BHP	BHP GROUP PLC ORD $0.50	GBX	44,205.66	2,083.50	-9.50	-0.45%
SMWH	WH SMITH PLC ORD 22 6/67P	GBX	2,231.50	1,697.00	-8.00	-0.47%
FRAS	FRASERS GROUP PLC ORD 10P	GBX	2,433.64	466.40	-2.20	-0.47%
ANTO	ANTOFAGASTA PLC ORD 5P	GBX	15,103.32	1,524.50	-7.50	-0.49%
JAM	JPMORGAN AMERICAN IT PLC ORD 5P	GBX	1,194.90	601.00	-3.00	-0.50%
SHB	SHAFTESBURY PLC ORD 25P	GBX	2,203.47	570.50	-3.00	-0.52%
JET	JUST EAT TAKEAWAY.COM N.V. ORD EUR0.04 (CDI)	GBX	11,761.89	7,862.00	-42.00	-0.53%
NEX	NATIONAL EXPRESS GROUP PLC ORD 5P	GBX	1,848.40	299.40	-1.60	-0.53%
SIG	SIGNATURE AVIATION PLC ORD 37 17/84P	GBX	3,418.98	410.30	-2.20	-0.53%
MONY	MONEYSUPERMARKET.COM GROUP PLC ORD 0.02P	GBX	1,409.38	261.20	-1.40	-0.53%
CLDN	CALEDONIA INVESTMENTS PLC ORD 5P	GBX	1,544.93	2,775.00	-15.00	-0.54%
POG	PETROPAVLOVSK PLC ORD 1P	GBX	1,098.14	27.60	-0.15	-0.54%
